
 param N:= 40;
 param M:= 40;

 param B_c := 47;

 param B_CPU := 65;

 param B_m := 15;

 param: w cpu m:= 
1 	 23	 14 	 1
2 	 13	 7 	 2
3 	 10	 12 	 3
4 	 23	 1 	 2
5 	 18	 4 	 3
6 	 19	 12 	 4
7 	 5	 11 	 2
8 	 4	 7 	 1
9 	 19	 15 	 3
10 	 12	 13 	 1
11 	 12	 12 	 2
12 	 10	 12 	 5
13 	 18	 7 	 1
14 	 4	 16 	 2
15 	 12	 16 	 2
16 	 16	 13 	 2
17 	 10	 17 	 1
18 	 18	 8 	 4
19 	 13	 19 	 5
20 	 10	 3 	 1
21 	 15	 17 	 4
22 	 8	 10 	 4
23 	 3	 2 	 2
24 	 19	 1 	 2
25 	 17	 17 	 3
26 	 4	 16 	 2
27 	 13	 6 	 2
28 	 10	 15 	 3
29 	 21	 10 	 3
30 	 17	 12 	 4
31 	 16	 9 	 1
32 	 19	 17 	 1
33 	 19	 11 	 3
34 	 8	 4 	 1
35 	 9	 20 	 2
36 	 23	 1 	 5
37 	 12	 18 	 4
38 	 16	 9 	 1
39 	 1	 10 	 3
40 	 4	 14 	 4
;
